name,year_published,min_players,max_players,play_time,min_age,users_rated,rating_average,bgg_rank,complexity_average,owned_users,mechanics
Slyville,2019.0,3,5,60,10,79,6.88,9538,1.5,112.0,"Auction/Bidding, Hand Management, Income, Modular Board, Negotiation, Set Collection, Take That, Turn Order: Progressive, Variable Set-up"
Hand and Foot,1982.0,2,6,120,12,324,5.93,9539,1.91,277.0,"Set Collection, Team-Based Game"
Black Hole Council,2018.0,4,8,60,14,80,6.74,9540,1.75,367.0,"Pattern Recognition, Simultaneous Action Selection, Voting"
Jubako,2020.0,2,4,30,8,63,7.03,9541,1.8,125.0,Tile Placement
Conspiracy!,2016.0,2,4,45,13,70,7.13,9542,2.0,221.0,"Hand Management, Set Collection"
Schlacht am Buffet,2011.0,3,6,30,8,128,6.2,9543,1.67,191.0,Simultaneous Action Selection
Conflict of Alliances: Warring States,2011.0,2,2,60,10,62,7.8,9544,2.52,56.0,"Area-Impulse, Campaign / Battle Card Driven, Simulation"
Envyra,2018.0,2,4,25,8,75,7.03,9545,2.0,225.0,"Area Majority / Influence, Set Collection, Simultaneous Action Selection"
Shinobi: War of Clans,2012.0,3,5,20,12,186,6.07,9546,1.44,265.0,Hand Management
Adventure Time Card Wars: Fionna vs Cake,2016.0,2,2,30,10,73,7.11,9547,2.0,305.0,
Titans of Industry,2013.0,3,6,150,13,95,6.54,9548,2.73,284.0,"Set Collection, Worker Placement"
Against All Odds,2003.0,2,2,180,12,56,7.32,9549,4.11,190.0,"Hexagon Grid, Secret Unit Deployment, Simulation"
Mysthea: The Fall,2020.0,2,5,120,14,43,8.12,9550,3.5,385.0,Cooperative Game
Sub Search,1973.0,2,2,45,10,332,5.81,9551,1.47,751.0,"Secret Unit Deployment, Square Grid"
Napoleon's Art of War: Eylau & Dresden,1979.0,2,2,300,14,175,6.14,9552,1.9,680.0,"Dice Rolling, Hexagon Grid"
Legends of Boxing,2000.0,1,2,45,12,45,8.62,9553,2.2,63.0,Dice Rolling
SPY,2017.0,2,4,10,10,297,5.86,9554,1.83,1707.0,"Hand Management, Memory, Player Elimination, Secret Unit Deployment"
Big Bang 13.7,2018.0,1,4,45,8,76,7.03,9555,1.75,151.0,"Pattern Building, Team-Based Game, Tile Placement, Time Track"
Game Over,2012.0,2,4,15,5,174,6.04,9556,1.3,354.0,Memory
El Camarero,2018.0,2,10,30,8,54,7.38,9557,1.0,93.0,Memory
Funkoverse Strategy Game: Golden Girls 101 - Dorothy and Sophia,2020.0,2,2,60,10,53,7.38,9558,0.0,462.0,"Action Points, Dice Rolling, Grid Movement, Variable Player Powers"
Drinking Fluxx,2017.0,2,6,40,21,148,6.3,9559,1.0,696.0,"Hand Management, Set Collection"
Elementum,2018.0,1,4,30,10,89,6.99,9560,2.0,113.0,"Card Drafting, Set Collection"
Snapshot,1979.0,2,2,60,12,142,6.17,9561,2.19,469.0,"Action Points, Dice Rolling, Grid Movement, Line of Sight, Role Playing, Square Grid"
Insecta,1992.0,1,7,300,12,136,6.22,9562,2.74,396.0,"Cooperative Game, Dice Rolling, Hexagon Grid, Role Playing, Simulation, Variable Player Powers"
Showtime,2018.0,2,4,40,8,172,6.03,9563,1.29,296.0,"Area Majority / Influence, Take That"
"Ignorant Armies: The Iran-Iraq War, 1980-88",2003.0,1,2,240,12,72,6.76,9564,2.6,257.0,"Dice Rolling, Hexagon Grid, Simulation"
Guerra De Mitos III,2013.0,2,6,20,10,58,7.96,9565,2.33,80.0,
Ortus,2013.0,2,2,30,12,96,6.52,9566,3.0,187.0,"Action Points, Area Majority / Influence, Grid Movement"
¡Abordaje!,2015.0,2,2,25,10,143,6.27,9567,1.89,355.0,"Area Majority / Influence, Card Drafting, Rock-Paper-Scissors, Simultaneous Action Selection, Variable Player Powers"
Star Trek Red Alert,2000.0,2,8,90,10,108,6.49,9568,2.33,244.0,Variable Player Powers
Connection Games,2005.0,0,0,0,0,32,8.78,9569,3.33,58.0,"Enclosure, Line Drawing, Paper-and-Pencil, Tile Placement"
Sherwood Forest,2009.0,3,6,60,9,376,5.8,9570,2.24,540.0,"Trading, Worker Placement"
Suzume-Jong,2018.0,2,5,30,6,68,7.0,9571,1.75,123.0,Set Collection
Battleground Fantasy Warfare: Undead Army,2005.0,2,2,60,12,54,7.15,9572,2.67,368.0,Variable Phase Order
Alea Iacta Est,2013.0,2,2,0,0,48,7.59,9573,3.08,221.0,"Area Movement, Dice Rolling, Scenario / Mission / Campaign Game, Simulation"
The Doom That Came to Atlantic City,2013.0,2,4,45,15,324,5.99,9574,1.83,796.0,"Dice Rolling, Hand Management, Roll / Spin and Move, Take That, Trading, Variable Player Powers"
War of Resistance,1998.0,2,2,0,12,64,6.98,9575,4.5,292.0,Hexagon Grid
Manimals,2006.0,2,6,20,6,105,6.36,9576,1.14,217.0,"Card Drafting, Drafting, Real-Time"
The Headlines Game,1989.0,2,12,45,12,75,6.81,9577,1.0,120.0,Card Drafting
oddball Aeronauts 2: Double the Trouble,2015.0,2,4,20,9,91,6.57,9578,1.83,342.0,Hand Management
Zimby Mojo,2016.0,1,8,120,14,136,6.77,9579,2.89,485.0,"Dice Rolling, Grid Movement, Hand Management, Pick-up and Deliver, Simultaneous Action Selection, Solo / Solitaire Game, Team-Based Game, Variable Phase Order"
Days of Decision II,1994.0,2,7,300,14,115,6.35,9580,3.67,276.0,"Area-Impulse, Dice Rolling, Simulation"
White Eagle Defiant: Poland 1939,2020.0,1,2,90,0,34,8.13,9581,1.83,85.0,"Chit-Pull System, Dice Rolling, Point to Point Movement, Simulation"
MechWar '77: Tactical Armored Combat in the 1970's,1975.0,2,2,270,12,157,6.25,9582,3.2,492.0,"Dice Rolling, Events, Grid Movement, Hexagon Grid, Line of Sight, Movement Points, Paper-and-Pencil, Programmed Movement, Scenario / Mission / Campaign Game, Simulation, Simultaneous Action Selection"
